dark+clean_gas_11,dark+clean_gas_5,dark+clean_gas_7,light+clean_gas_11,light+clean_gas_14,light+clean_gas_5,light+clean_gas_7,light+used_gas_11,light+used_gas_5,light+used_gas_7,ocean_0
Spongiococcum,0,0,0,0.000136309144355326,0,0,0,0.000333858301187486,0.000904636705021666,0.000789667371390803,0
Spumella,0.00188200768647691,0.00610157068908387,0.276340854612295,0,0,0,0,0,0,0,0.00175239944447542
Stichococcus,0,0,0,7.90333206341224e-05,0,0,3.3583884536291e-05,0,0,0,0
Stramenopiles_X-Group-3_XXX,0,0,0,0,0,0.000406626749932606,0,0,0.000230684785068529,0,0
Stramenopiles_XXXXX,0,0,0,0,0,0,0,0,0,0,8.3627882227694e-05
Strobilidiidae_X,0,0.000461908896148857,0,0,0,0,0,0,0,0,0.00371391764302561
Strombidiidae_X,0.000355094982130474,0.000284205057504324,0.000196981295448326,0.000115768349181773,0,0,7.73040018117399e-05,0.000162943614192895,0.000235370454577396,0,0.020892778103293
Strombidinopsis,0,0,0,0,0,0,0,0,0,0,0.000120954434961764
Strombidium,0.000178255525103416,0.000208172970276871,9.42333863412054e-05,0.000364616486611945,0.000315268197802756,0,0.000298719964459239,0.000238654501103475,0.000369263919174522,0.000247653924797025,0.0182765675689024
Subulatomonas,0,0,0,0,0,0,0,0,0,0,0.000143075515364288
Subulatomonas-lineage_X,0,0,0,0,0,0,0,0,0,0,0.000296350536989836
Suctoria_XX,0,0,0,0,0,0,0,0,0,0,0.000366416089092309
Surirella,0,0,0,0,0,9.94647086357342e-05,0,0,0.000315295132752194,0,0
Syltodinium,0.000132552237103169,0.000258161037802041,0,0,0,0,0,0,0,0,0.00259886085054724
Synophrya,0,0,0,0,0,0,0,0,0,0,0.000216665544901969
Tabularia,0,0,0,0,0,0,0,0,0,0,0.00018358515754094
TAGIRI1-lineage_X,0,0,0,0,0,0,0,0,0,0,0.000794493696915012
Teleaulax,0.000332613443650332,0.000336197757360481,0.000254025204680003,9.35852330031081e-05,0,0,7.49490495028887e-05,8.34496387645967e-05,0,0.000217923864803765,0.0136960384605738
Telonema-Group-1,0,0,0,0,0,0,0,0,0,0,0.000175930909377799
Telonemia-Group-1_X,0,0,0,0,0.000598157711252396,0,0.00024491831060813,0,0,0,0.00925032554684192
Telonemia-Group-2_X,0,0,0,0,0,0,0,0,0,0,0.00030900428467648
Tetramitia_VI_4,0,0,0,0,0,0,0,0,0,0,9.7400987427468e-05
Tetraselmis,0.0470205484668362,0.0028844458338206,0.0107986014063125,0.0438210339037661,0.287772708841817,0.0578165933144816,0.216036427314556,0.152071599240864,0.0579401148576517,0.158901278735049,0.0298340048078161
Thalassiosira,0,0,0,0,0,0.000684275931144621,6.87977326397918e-05,0,0.000795332034851894,0,0.00138139197735877
Thalassomyxa,0,0,0,0,0,0,0,0,0,0,0.000424188200573474
Thaumatomastix,0,0,0,0,0,0,0,0,0,0,0.00288856946577582
Thaumatomonadida_XX,0,0,0,0,0,0,0,0,0,0,0.00122934581428168
Thaumatomonas,0.000136282014879066,0.000199489089763763,0,0,0,0,0,0,0,0,0
Thraustochytriaceae_HK10,0,0,0,0,0,0,0,0,0.000286266119536121,0.000336792850146771,0.00021491333258423
Thraustochytriaceae_LAB17,0,0,0,9.90902466009063e-05,0,0.000879680557529337,0.000875587945216502,0.000144239995207475,0.00136467094999643,0.00196056142315374,0.00857755526028846
Thraustochytriaceae_SEK690,0,0,0,0,0,0,3.42398413989504e-05,0,0,0,0.000257980527594188
Thraustochytrium,0,0,0,0,0,0,0,0,0,0,0.00104935445885506
Tintinnopsis_07,0,0,0,0,0,0,0,0,0,0,0.00152861604817367
Tisochrysis,0,0,0,7.70701918014741e-05,0.000839287138517337,0,0.000461034377026001,0,0,0.00019811260436615,0
Tripos,0,0,0,0,0,0,0,4.81440223641905e-05,0,0,0.00354386602930153
Uronema,6.37055284813566e-05,0.000135741658520744,0.000420782700808932,0.0041493612377599,0.00654971119811853,0.000346267086983777,0.000473986549326962,0,0.000525332185507809,0,8.88579647691159e-05
Uronemella,0,0.000451848480189201,0.000697710865109818,0,0,0,0,0,0.000160713782504926,0,0
Urotricha,0,0,0,0,0,0,0,0,0,0,0.000451692883485684
Vampyrellida_clade_B,0,0,0,0,0,0,0,0,0,0,0.000132163907523026
Vampyrellida_clade_C,0,0,0,0,0,0,0,0,0,0,0.000216018512529396
Vampyrellida_XX,0,0,0,0,0,0,0,0,0,0,0.000115382832237157
Vannella,0.00630364633703805,0.00739184218964781,0.0184973019915258,0.000181674573663609,0.000157610800023729,0.00427690596375313,0.00610646606942591,0,0.0109692440796174,0.00079245041766105,0.000286812992388461
Ventricleftida_XX,0,0,0,0,0,0,0,0,0,0,0.000569914840861816
Ventrifissura,0,0,0,0,0,0,0,0,0,0,0.000102071060303014
Warnowia,0,0,0,0,0,0,0,0,0,0,0.00046950994490351
